ToxicParser Profiler
====================
Target: parser
Profiler: eprof
Profile type: time
Matching: all functions
File limit: 20

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 20 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 20
Total AST nodes: 20850
Total bytes: 315762
Baseline time: 881.66 ms
Throughput: 23649.0 AST nodes/sec
Throughput: 349.75 KB/sec

Running profiler (eprof, time)...

Using eprof
Warmup...


Profile results of #PID<0.195.0>
#                                                                                      CALLS    %   TIME µS/CALL
Total                                                                                1104175 100. 758662    0.07
ToxicParser.Grammar.DoBlocks.allow_no_parens?/2                                        15559 0.01    689    0.04
ToxicParser.Context.expr/0                                                             17382 0.01    704    0.04
ToxicParser.Pratt.parse_no_parens_call_nud_with_min_bp/5                                2912 0.01    711    0.24
Toxic.NormalTokenizer.String.handle_strings/6                                          14734 0.01    750    0.05
Enum.join/2                                                                             6544 0.01    772    0.12
ToxicParser.Grammar.CallsPrivate.parse_call_args_parens_list/3                          5428 0.01    776    0.14
ToxicParser.Grammar.Keywords.parse_kw_list/6                                            5219 0.01    782    0.15
Toxic.Driver.Contexts.delimiter_charlist/1                                             21787 0.01    783    0.04
:erlang.list_to_binary/1                                                                 928 0.01    784    0.84
ToxicParser.Grammar.Containers.parse_tuple_base/3                                       3743 0.01    791    0.21
ToxicParser.Grammar.Dots.parse_member/4                                                 4362 0.01    798    0.18
ToxicParser.Pratt.nud/4                                                                21683 0.01    809    0.04
ToxicParser.Grammar.Blocks.stop_token?/2                                               10244 0.01    817    0.08
List.last/2                                                                            20080 0.01    827    0.04
ToxicParser.Grammar.Blocks.parse_do_block/3                                             2153 0.01    835    0.39
ToxicParser.Grammar.Stabs.parse_stab_body/4                                             4246 0.01    837    0.20
ToxicParser.Grammar.Calls.handle_no_parens_arg/6                                        5240 0.01    859    0.16
ToxicParser.Grammar.Blocks.maybe_annotate_and_consume_eoe/2                             4342 0.01    887    0.20
Toxic.NormalTokenizer.Operator.handle_unary_op/8                                       10767 0.01    897    0.08
